ActivityIdentifier,ActivityStartDate,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,Measure,SampleAquifer
nwisco.01.01800148,2017-11-06,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01701828,2017-05-24,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.99901531,1999-04-19,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.00000796,1999-12-03,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.00205228,2002-09-05,USGS-09085000,"Stable, low stage",Drought,8.5,
nwisco.01.98102630,1981-07-01,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.99400211,1993-11-02,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.98102617,1981-04-01,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.99803736,1998-09-02,USGS-392847107171100,"Stable, low stage",Routine sample,8.5,
nwisco.01.00300087,2002-10-08,USGS-09081000,"Stable, low stage",Routine sample,8.5,
nwisco.01.00100997,2001-01-24,USGS-392110107011300,"Stable, low stage",Under ice cover,8.5,
nwisco.01.00100753,2001-01-03,USGS-392110107011300,"Stable, low stage",Under ice cover,8.5,
nwisco.01.00501396,2005-04-11,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.00602103,2006-07-13,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01000919,2009-12-16,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.00900829,2009-01-07,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01004471,2010-08-04,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01000151,2009-10-15,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.00702507,2007-08-06,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.00703260,2007-09-19,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.00901177,2009-03-10,USGS-09081000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.01400234,2013-11-13,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.01403507,2014-09-03,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.00102019,2001-03-27,USGS-392110107011300,"Stable, normal stage",Snowmelt,8.6,
nwisco.01.00203178,2002-05-29,USGS-09085000,Rising stage,Snowmelt,8.6,
nwisco.01.97902770,1978-11-29,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.00400681,2003-12-12,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.00100603,2000-12-05,USGS-392110107011300,"Stable, low stage",Under ice cover,8.6,
nwisco.01.00303472,2003-07-24,USGS-09085000,"Stable, low stage",Routine sample,8.6,
nwisco.01.00100202,2000-11-01,USGS-392110107011300,"Stable, normal stage",Routine sample,8.6,
nwisco.01.00001223,2000-01-26,USGS-392110107011300,"Stable, normal stage",Routine sample,8.6,
